Año,Edad,Causa de muerte,Total,Hombres,Mujeres
2011,7 - 27 días,"Neumonía, organismo no especificado",35,21,14
2011,7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,31,17,14
2011,7 - 27 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",28,18,10
2011,7 - 27 días,Hemorragia pulmonar originada en el período perinatal,24,13,11
2011,7 - 27 días,Otras hemorragias neonatales,20,11,9
2011,7 - 27 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",57,34,23
2011,7 - 27 días,Otras causas,361,200,161
2011,28 días a menos de 1 año,"Neumonía, organismo no especificado",143,797,633
2011,28 días a menos de 1 año,Diarrea y gastroenteritis de presunto origen infeccioso,432,241,191
2011,28 días a menos de 1 año,Otras septicemias,242,128,114
2011,28 días a menos de 1 año,Otras malformaciones congénitas del corazón,126,70,56
2011,28 días a menos de 1 año,"Desnutrición proteicocalórica, no especificada",95,57,38
2011,28 días a menos de 1 año,Sepsis bacteriana del recién nacido,70,42,28
2011,28 días a menos de 1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",67,33,34
2011,28 días a menos de 1 año,Obstrucción no especificada de la respiración,60,38,22
2011,28 días a menos de 1 año,"Desnutrición proteicocalórica severa, no especificada",55,31,24
2011,28 días a menos de 1 año,"Neumonía bacteriana, no clasificada en otra parte",42,23,19
2011,28 días a menos de 1 año,Dificultad respiratoria del recién nacido,38,18,20
2011,28 días a menos de 1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],37,22,15
2011,28 días a menos de 1 año,Síndrome de dificultad respiratoria del adulto,37,24,13
2011,28 días a menos de 1 año,Bronquitis aguda,36,20,16
2011,28 días a menos de 1 año,Otros trastornos respiratorios,36,20,16
2011,28 días a menos de 1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",294,193,101
2011,28 días a menos de 1 año,Otras causas,1028,571,457
2011,1 año,"Neumonía, organismo no especificado",426,223,203
2011,1 año,Diarrea y gastroenteritis de presunto origen infeccioso,390,199,191
2011,1 año,Otras septicemias,58,28,30
2011,1 año,"Desnutrición proteicocalórica, no especificada",47,27,20
2011,1 año,Depleción del volumen,30,18,12
2011,1 año,"Desnutrición proteicocalórica severa, no especificada",28,15,13
2011,1 año,Otras malformaciones congénitas del corazón,17,9,8
2011,1 año,Epilepsia,16,6,10
2011,1 año,Ahogamiento y sumersión no especificados,15,13,2
2011,1 año,Otros trastornos del encéfalo,14,8,6
2011,1 año,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",12,6,6
2011,1 año,"Parasitosis intestinal, sin otra especificación",11,5,6
2011,1 año,Bronquitis aguda,11,6,5
2011,1 año,Síndrome de Down,11,4,7
2011,1 año,Exposición a factores no especificados,11,6,5
2011,1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",112,63,49
2011,1 año,Otras causas,295,148,147
2011,2 años,"Neumonía, organismo no especificado",130,63,67
2011,2 años,Diarrea y gastroenteritis de presunto origen infeccioso,124,52,72
2011,2 años,Exposición a factores no especificados,20,13,7
2011,2 años,"Desnutrición proteicocalórica, no especificada",15,5,10
2011,2 años,Obstrucción no especificada de la respiración,12,8,4
2011,2 años,Otras septicemias,10,7,3
2011,2 años,Depleción del volumen,10,5,5
2011,2 años,Ahogamiento y sumersión no especificados,10,4,6
2011,2 años,"Desnutrición proteicocalórica severa, no especificada",8,4,4
2011,2 años,Asma,7,2,5
2011,2 años,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",5,1,4
2011,2 años,Hidrocéfalo,5,3,2
2011,2 años,Ileo paralítico y obstrucción intestinal sin hernia,5,3,2
2011,2 años,"Insuficiencia hepática, no clasificada en otra parte",5,4,1
2011,2 años,Secuelas de otros efectos y los no especificados de causas externas,5,2,3
2011,2 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",48,30,18
2011,2 años,Otras causas,119,59,60
2011,3 años,"Neumonía, organismo no especificado",68,34,34
2011,3 años,Diarrea y gastroenteritis de presunto origen infeccioso,46,20,26
2011,3 años,Otras septicemias,19,8,11
2011,3 años,Exposición a factores no especificados,14,10,4
2011,3 años,"Desnutrición proteicocalórica severa, no especificada",9,5,4
2011,3 años,"Desnutrición proteicocalórica, no especificada",9,5,4
2011,3 años,Otros trastornos del encéfalo,7,5,2
2011,3 años,"Exposición a humos, fuegos o llamas no especificados",6,3,3
2011,3 años,Ahogamiento y sumersión no especificados,5,4,1
2011,3 años,Epilepsia,4,1,3
2011,3 años,Parálisis cerebral,4,1,3
2011,3 años,Otras malformaciones congénitas del corazón,4,2,2
2011,3 años,Obstrucción no especificada de la respiración,4,3,1
2011,3 años,Depleción del volumen,3,1,2
2011,3 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",26,15,11
2011,3 años,Otras causas,78,36,42
2011,4 años,"Neumonía, organismo no especificado",40,21,19
2011,4 años,Diarrea y gastroenteritis de presunto origen infeccioso,27,17,10
2011,4 años,Exposición a factores no especificados,14,9,5
2011,4 años,Otras septicemias,6,3,3
2011,4 años,"Parasitosis intestinal, sin otra especificación",5,2,3
2011,4 años,Depleción del volumen,5,1,4
2011,4 años,Hidrocéfalo,4,3,1
2011,4 años,Ahogamiento y sumersión no especificados,4,2,2
2011,4 años,"Desnutrición proteicocalórica severa, no especificada",3,2,1
2011,4 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",18,9,9
2011,4 años,Otras causas,56,29,27
2011,5 - 9 años,"Neumonía, organismo no especificado",91,41,50
2011,5 - 9 años,Diarrea y gastroenteritis de presunto origen infeccioso,75,38,37
2011,5 - 9 años,Exposición a factores no especificados,52,34,18
2011,5 - 9 años,Secuelas de otros efectos y los no especificados de causas externas,29,19,10
2011,5 - 9 años,Otras septicemias,20,10,10
2011,5 - 9 años,"Desnutrición proteicocalórica, no especificada",17,10,7
2011,5 - 9 años,Ahogamiento y sumersión no especificados,17,12,5
2011,5 - 9 años,Leucemia de células de tipo no especificado,16,11,5
2011,5 - 9 años,Leucemia linfoide,12,9,3
2011,5 - 9 años,Otros trastornos del encéfalo,12,8,4
2011,5 - 9 años,Tumor maligno del encéfalo,9,3,6
2011,5 - 9 años,Epilepsia,9,6,3
2011,5 - 9 años,Parálisis cerebral,9,4,5
2011,5 - 9 años,Hidrocéfalo,9,4,5
2011,5 - 9 años,Otras malformaciones congénitas del corazón,8,6,2
2011,5 - 9 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",56,31,25
2011,5 - 9 años,Otras causas,264,141,123
2011,10 - 14 años,"Neumonía, organismo no especificado",75,36,39
2011,10 - 14 años,Exposición a factores no especificados,73,56,17
2011,10 - 14 años,Secuelas de otros efectos y los no especificados de causas externas,51,30,21
2011,10 - 14 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",40,31,9
2011,10 - 14 años,Diarrea y gastroenteritis de presunto origen infeccioso,37,23,14
2011,10 - 14 años,"Disparo de otras armas de fuego, y las no especificadas",30,22,8
2011,10 - 14 años,Epilepsia,28,17,11
2011,10 - 14 años,Ahogamiento y sumersión no especificados,27,14,13
2011,10 - 14 años,Otras septicemias,17,11,6
2011,10 - 14 años,Leucemia linfoide,17,8,9
2011,10 - 14 años,Obstrucción no especificada de la respiración,17,7,10
2011,10 - 14 años,Otros estrangulamientos y ahorcamientos accidentales,14,6,8
2011,10 - 14 años,Leucemia de células de tipo no especificado,13,4,9
2011,10 - 14 años,"Desnutrición proteicocalórica, no especificada",12,7,5
2011,10 - 14 años,Insuficiencia renal crónica,12,8,4
2011,10 - 14 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",57,30,27
2011,10 - 14 años,Otras causas,387,192,195
2011,15 - 19 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",496,434,62
2011,15 - 19 años,"Disparo de otras armas de fuego, y las no especificadas",211,184,27
2011,15 - 19 años,Exposición a factores no especificados,202,176,26
2011,15 - 19 años,Secuelas de otros efectos y los no especificados de causas externas,90,68,22
2011,15 - 19 años,"Neumonía, organismo no especificado",86,50,36
2011,15 - 19 años,Ahogamiento y sumersión no especificados,55,50,5
2011,15 - 19 años,Otros estrangulamientos y ahorcamientos accidentales,38,22,16
2011,15 - 19 años,Epilepsia,36,24,12
2011,15 - 19 años,Agresión con objeto cortante,36,26,10
2011,15 - 19 años,Agresión por medios no especificados,36,28,8
2011,15 - 19 años,Diarrea y gastroenteritis de presunto origen infeccioso,34,19,15
2011,15 - 19 años,"Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",33,11,22
2011,15 - 19 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",33,25,8
2011,15 - 19 años,"Envenenamiento autoinfligido intencionalmente por, y exposición a plaguicidas",30,10,20
2011,15 - 19 años,Obstrucción no especificada de la respiración,29,18,11
2011,15 - 19 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",103,57,46
2011,15 - 19 años,Otras causas,733,379,354
2011,20 - 24 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",654,611,43
2011,20 - 24 años,Exposición a factores no especificados,312,281,31
2011,20 - 24 años,"Disparo de otras armas de fuego, y las no especificadas",230,212,18
2011,20 - 24 años,Secuelas de otros efectos y los no especificados de causas externas,118,101,17
2011,20 - 24 años,"Neumonía, organismo no especificado",85,50,35
2011,20 - 24 años,Ahogamiento y sumersión no especificados,59,51,8
2011,20 - 24 años,Otros estrangulamientos y ahorcamientos accidentales,52,42,10
2011,20 - 24 años,"Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",42,26,16
2011,20 - 24 años,Agresión con objeto cortante,40,36,4
2011,20 - 24 años,"Envenenamiento accidental por, y exposición a plaguicidas",38,28,10
2011,20 - 24 años,Diarrea y gastroenteritis de presunto origen infeccioso,34,18,16
2011,20 - 24 años,Epilepsia,32,19,13
2011,20 - 24 años,Infarto agudo del miocardio,30,21,9
2011,20 - 24 años,Otras septicemias,29,16,13
2011,20 - 24 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",119,68,51
2011,20 - 24 años,Otras causas,831,498,333
2011,25 - 29 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",601,558,43
2011,25 - 29 años,Exposición a factores no especificados,313,285,28
2011,25 - 29 años,"Disparo de otras armas de fuego, y las no especificadas",217,201,16
2011,25 - 29 años,Secuelas de otros efectos y los no especificados de causas externas,134,110,24
2011,25 - 29 años,"Neumonía, organismo no especificado",89,52,37
2011,25 - 29 años,Agresión con objeto cortante,63,55,8
2011,25 - 29 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",54,37,17
2011,25 - 29 años,"Envenenamiento accidental por, y exposición al alcohol",52,51,1
2011,25 - 29 años,Otros estrangulamientos y ahorcamientos accidentales,50,40,10
2011,25 - 29 años,Diarrea y gastroenteritis de presunto origen infeccioso,49,32,17
2011,25 - 29 años,Infarto agudo del miocardio,49,32,17
2011,25 - 29 años,Fibrosis y cirrosis del hígado,44,40,4
2011,25 - 29 años,Enfermedad alcohólica del hígado,38,34,4
2011,25 - 29 años,"Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",33,25,8
2011,25 - 29 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",32,25,7
2011,25 - 29 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",108,58,50
2011,25 - 29 años,Otras causas,938,532,406
2011,30 - 34 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",482,432,50
2011,30 - 34 años,Exposición a factores no especificados,261,232,29
2011,30 - 34 años,"Disparo de otras armas de fuego, y las no especificadas",186,168,18
2011,30 - 34 años,"Neumonía, organismo no especificado",103,57,46
2011,30 - 34 años,Secuelas de otros efectos y los no especificados de causas externas,81,68,13
2011,30 - 34 años,"Envenenamiento accidental por, y exposición al alcohol",80,76,4
2011,30 - 34 años,Infarto agudo del miocardio,74,41,33
2011,30 - 34 años,Fibrosis y cirrosis del hígado,72,61,11
2011,30 - 34 años,Enfermedad alcohólica del hígado,71,62,9
2011,30 - 34 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",59,44,15
2011,30 - 34 años,Diarrea y gastroenteritis de presunto origen infeccioso,53,32,21
2011,30 - 34 años,"Diabetes mellitus, no especificada",46,21,25
2011,30 - 34 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,44,39,5
2011,30 - 34 años,Agresión con objeto cortante,44,35,9
2011,30 - 34 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",41,29,12
2011,30 - 34 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",102,67,35
2011,30 - 34 años,Otras causas,102,587,433
2011,35 - 39 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",345,305,40
2011,35 - 39 años,Exposición a factores no especificados,224,197,27
2011,35 - 39 años,"Disparo de otras armas de fuego, y las no especificadas",119,106,13
2011,35 - 39 años,Fibrosis y cirrosis del hígado,117,102,15
2011,35 - 39 años,Infarto agudo del miocardio,101,63,38
2011,35 - 39 años,"Neumonía, organismo no especificado",86,57,29
2011,35 - 39 años,Secuelas de otros efectos y los no especificados de causas externas,82,70,12
2011,35 - 39 años,Enfermedad alcohólica del hígado,75,63,12
2011,35 - 39 años,"Diabetes mellitus, no especificada",72,34,38
2011,35 - 39 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,69,61,8
2011,35 - 39 años,"Envenenamiento accidental por, y exposición al alcohol",68,60,8
2011,35 - 39 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",38,25,13
2011,35 - 39 años,Tumor maligno del estómago,37,15,22
2011,35 - 39 años,Agresión con objeto cortante,32,28,4
2011,35 - 39 años,Diarrea y gastroenteritis de presunto origen infeccioso,31,14,17
2011,35 - 39 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",117,70,47
2011,35 - 39 años,Otras causas,1067,585,482
2011,40 - 44 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",242,215,27
2011,40 - 44 años,Exposición a factores no especificados,177,155,22
2011,40 - 44 años,Fibrosis y cirrosis del hígado,134,105,29
2011,40 - 44 años,"Diabetes mellitus, no especificada",110,54,56
2011,40 - 44 años,Infarto agudo del miocardio,109,65,44
2011,40 - 44 años,Enfermedad alcohólica del hígado,102,87,15
2011,40 - 44 años,"Neumonía, organismo no especificado",98,53,45
2011,40 - 44 años,"Disparo de otras armas de fuego, y las no especificadas",82,71,11
2011,40 - 44 años,"Envenenamiento accidental por, y exposición al alcohol",81,78,3
2011,40 - 44 años,Secuelas de otros efectos y los no especificados de causas externas,72,57,15
2011,40 - 44 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,65,59,6
2011,40 - 44 años,Tumor maligno del estómago,59,28,31
2011,40 - 44 años,Diarrea y gastroenteritis de presunto origen infeccioso,50,34,16
2011,40 - 44 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",40,30,10
2011,40 - 44 años,Diabetes mellitus no insulinodependiente,36,23,13
2011,40 - 44 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",128,74,54
2011,40 - 44 años,Otras causas,1074,590,484
2011,45 - 49 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",195,166,29
2011,45 - 49 años,Exposición a factores no especificados,192,164,28
2011,45 - 49 años,"Diabetes mellitus, no especificada",186,68,118
2011,45 - 49 años,Fibrosis y cirrosis del hígado,165,137,28
2011,45 - 49 años,Infarto agudo del miocardio,149,84,65
2011,45 - 49 años,"Neumonía, organismo no especificado",119,78,41
2011,45 - 49 años,Enfermedad alcohólica del hígado,99,83,16
2011,45 - 49 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,76,69,7
2011,45 - 49 años,"Envenenamiento accidental por, y exposición al alcohol",69,66,3
2011,45 - 49 años,"Disparo de otras armas de fuego, y las no especificadas",63,55,8
2011,45 - 49 años,Tumor maligno del estómago,59,32,27
2011,45 - 49 años,Diarrea y gastroenteritis de presunto origen infeccioso,53,22,31
2011,45 - 49 años,Insuficiencia renal crónica,53,32,21
2011,45 - 49 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,49,19,30
2011,45 - 49 años,Diabetes mellitus no insulinodependiente,49,29,20
2011,45 - 49 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",141,87,54
2011,45 - 49 años,Otras causas,1203,641,562
2011,50 - 54 años,"Diabetes mellitus, no especificada",316,138,178
2011,50 - 54 años,Infarto agudo del miocardio,204,120,84
2011,50 - 54 años,Exposición a factores no especificados,172,144,28
2011,50 - 54 años,Fibrosis y cirrosis del hígado,169,111,58
2011,50 - 54 años,"Neumonía, organismo no especificado",138,77,61
2011,50 - 54 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",133,110,23
2011,50 - 54 años,Enfermedad alcohólica del hígado,114,97,17
2011,50 - 54 años,Tumor maligno del estómago,102,41,61
2011,50 - 54 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,80,32,48
2011,50 - 54 años,Diabetes mellitus no insulinodependiente,77,38,39
2011,50 - 54 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,65,61,4
2011,50 - 54 años,Insuficiencia renal crónica,62,29,33
2011,50 - 54 años,"Envenenamiento accidental por, y exposición al alcohol",61,58,3
2011,50 - 54 años,Diarrea y gastroenteritis de presunto origen infeccioso,55,25,30
2011,50 - 54 años,Secuelas de otros efectos y los no especificados de causas externas,54,41,13
2011,50 - 54 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",173,98,75
2011,50 - 54 años,Otras causas,1425,708,717
2011,55 - 59 años,"Diabetes mellitus, no especificada",422,169,253
2011,55 - 59 años,Infarto agudo del miocardio,262,150,112
2011,55 - 59 años,Fibrosis y cirrosis del hígado,183,117,66
2011,55 - 59 años,"Neumonía, organismo no especificado",180,105,75
2011,55 - 59 años,Exposición a factores no especificados,159,127,32
2011,55 - 59 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,112,45,67
2011,55 - 59 años,Diabetes mellitus no insulinodependiente,112,43,69
2011,55 - 59 años,Tumor maligno del estómago,111,52,59
2011,55 - 59 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",89,77,12
2011,55 - 59 años,Insuficiencia renal crónica,80,38,42
2011,55 - 59 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",78,34,44
2011,55 - 59 años,Insuficiencia cardíaca,69,31,38
2011,55 - 59 años,Diarrea y gastroenteritis de presunto origen infeccioso,68,32,36
2011,55 - 59 años,Enfermedad alcohólica del hígado,60,54,6
2011,55 - 59 años,"Desnutrición proteicocalórica, no especificada",52,22,30
2011,55 - 59 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",170,80,90
2011,55 - 59 años,Otras causas,1579,823,756
2011,60 - 64 años,"Diabetes mellitus, no especificada",436,178,258
2011,60 - 64 años,Infarto agudo del miocardio,307,176,131
2011,60 - 64 años,"Neumonía, organismo no especificado",224,117,107
2011,60 - 64 años,Fibrosis y cirrosis del hígado,195,122,73
2011,60 - 64 años,Tumor maligno del estómago,163,79,84
2011,60 - 64 años,Diabetes mellitus no insulinodependiente,155,64,91
2011,60 - 64 años,Exposición a factores no especificados,134,98,36
2011,60 - 64 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,132,56,76
2011,60 - 64 años,Insuficiencia renal crónica,112,63,49
2011,60 - 64 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",87,51,36
2011,60 - 64 años,Diarrea y gastroenteritis de presunto origen infeccioso,86,46,40
2011,60 - 64 años,Insuficiencia cardíaca,69,36,33
2011,60 - 64 años,Otras enfermedades cerebrovasculares,66,23,43
2011,60 - 64 años,Insuficiencia renal no especificada,61,29,32
2011,60 - 64 años,Enfermedad alcohólica del hígado,60,56,4
2011,60 - 64 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",215,109,106
2011,60 - 64 años,Otras causas,1594,854,740
2011,65 - 69 años,"Diabetes mellitus, no especificada",433,168,265
2011,65 - 69 años,Infarto agudo del miocardio,386,236,150
2011,65 - 69 años,"Neumonía, organismo no especificado",273,135,138
2011,65 - 69 años,Fibrosis y cirrosis del hígado,176,106,70
2011,65 - 69 años,Tumor maligno del estómago,159,75,84
2011,65 - 69 años,Diabetes mellitus no insulinodependiente,148,58,90
2011,65 - 69 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,147,69,78
2011,65 - 69 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",124,71,53
2011,65 - 69 años,Insuficiencia cardíaca,122,65,57
2011,65 - 69 años,Exposición a factores no especificados,97,69,28
2011,65 - 69 años,Diarrea y gastroenteritis de presunto origen infeccioso,93,46,47
2011,65 - 69 años,Insuficiencia renal crónica,91,56,35
2011,65 - 69 años,Otras enfermedades cerebrovasculares,71,29,42
2011,65 - 69 años,Insuficiencia renal no especificada,66,34,32
2011,65 - 69 años,"Desnutrición proteicocalórica, no especificada",58,32,26
2011,65 - 69 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",234,112,122
2011,65 - 69 años,Otras causas,1572,838,734
2011,70 - 74 años,"Neumonía, organismo no especificado",442,217,225
2011,70 - 74 años,Infarto agudo del miocardio,435,217,218
2011,70 - 74 años,"Diabetes mellitus, no especificada",380,158,222
2011,70 - 74 años,Fibrosis y cirrosis del hígado,160,90,70
2011,70 - 74 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",153,84,69
2011,70 - 74 años,Insuficiencia cardíaca,146,71,75
2011,70 - 74 años,Tumor maligno del estómago,145,69,76
2011,70 - 74 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,145,68,77
2011,70 - 74 años,Diabetes mellitus no insulinodependiente,128,46,82
2011,70 - 74 años,Exposición a factores no especificados,100,67,33
2011,70 - 74 años,Diarrea y gastroenteritis de presunto origen infeccioso,99,45,54
2011,70 - 74 años,"Desnutrición proteicocalórica, no especificada",99,63,36
2011,70 - 74 años,Insuficiencia renal crónica,97,50,47
2011,70 - 74 años,Otras enfermedades cerebrovasculares,89,47,42
2011,70 - 74 años,Otras enfermedades pulmonares obstructivas crónicas,72,42,30
2011,70 - 74 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",366,187,179
2011,70 - 74 años,Otras causas,1768,978,790
2011,75 - 79 años,Infarto agudo del miocardio,589,322,267
2011,75 - 79 años,"Neumonía, organismo no especificado",584,301,283
2011,75 - 79 años,"Diabetes mellitus, no especificada",408,155,253
2011,75 - 79 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",246,114,132
2011,75 - 79 años,Insuficiencia cardíaca,235,124,111
2011,75 - 79 años,Tumor maligno del estómago,162,83,79
2011,75 - 79 años,"Desnutrición proteicocalórica, no especificada",155,74,81
2011,75 - 79 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,149,73,76
2011,75 - 79 años,Diabetes mellitus no insulinodependiente,143,46,97
2011,75 - 79 años,Diarrea y gastroenteritis de presunto origen infeccioso,124,65,59
2011,75 - 79 años,Otras enfermedades cerebrovasculares,123,60,63
2011,75 - 79 años,Otras enfermedades pulmonares obstructivas crónicas,119,59,60
2011,75 - 79 años,Exposición a factores no especificados,113,73,40
2011,75 - 79 años,Fibrosis y cirrosis del hígado,100,53,47
2011,75 - 79 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",489,262,227
2011,75 - 79 años,Otras causas,1853,963,890
2011,80 - 84 años,"Neumonía, organismo no especificado",748,389,359
2011,80 - 84 años,Infarto agudo del miocardio,719,369,350
2011,80 - 84 años,"Diabetes mellitus, no especificada",336,124,212
2011,83 - 84 años,Insuficiencia cardíaca,321,171,150
2011,80 - 84 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",251,116,135
2011,80 - 84 años,"Desnutrición proteicocalórica, no especificada",193,103,90
2011,80 - 84 años,Tumor maligno del estómago,155,73,82
2011,80 - 84 años,Otras enfermedades pulmonares obstructivas crónicas,147,75,72
2011,80 - 84 años,Diarrea y gastroenteritis de presunto origen infeccioso,127,62,65
2011,80 - 84 años,Otras enfermedades cerebrovasculares,122,56,66
2011,80 - 84 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,109,61,48
2011,80 - 84 años,Diabetes mellitus no insulinodependiente,106,45,61
2011,80 - 84 años,Fibrosis y cirrosis del hígado,102,60,42
2011,80 - 84 años,Exposición a factores no especificados,101,55,46
2011,80 - 84 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",711,343,368
2011,80 - 84 años,Otras causas,1858,899,959
2011,85 y más,Infarto agudo del miocardio,118,566,614
2011,85 y más,"Neumonía, organismo no especificado",1172,601,571
2011,85 y más,Insuficiencia cardíaca,487,223,264
2011,85 y más,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",390,187,203
2011,85 y más,"Desnutrición proteicocalórica, no especificada",374,180,194
2011,85 y más,"Diabetes mellitus, no especificada",314,111,203
2011,85 y más,Otras enfermedades pulmonares obstructivas crónicas,189,85,104
2011,85 y más,Otras enfermedades cerebrovasculares,180,77,103
2011,85 y más,Exposición a factores no especificados,166,85,81
2011,85 y más,Tumor maligno del estómago,141,56,85
2011,85 y más,Diarrea y gastroenteritis de presunto origen infeccioso,133,68,65
2011,85 y más,Hipertensión esencial (primaria),130,51,79
2011,85 y más,Insuficiencia renal crónica,107,53,54
2011,85 y más,Insuficiencia renal no especificada,101,55,46
2011,85 y más,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1312,577,735
2011,85 y más,Otras causas,2059,921,1138
2012,1- 6 días,Dificultad respiratoria del recién nacido,289,171,118
2012,1- 6 días,Síndromes de aspiración neonatal,196,102,94
2012,1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",117,67,50
2012,1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",114,68,46
2012,1- 6 días,Sepsis bacteriana del recién nacido,110,60,50
2012,1- 6 días,Neumonía congénita,98,61,37
2012,1- 6 días,Asfixia del nacimiento,94,57,37
2012,1- 6 días,Otras malformaciones congénitas del corazón,52,34,18
2012,1- 6 días,Trastornos cardiovasculares originados en el período perinatal,40,18,22
2012,1- 6 días,Otras afecciones originadas en el período perinatal,27,19,8
2012,1- 6 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",23,18,5
2012,1- 6 días,Anencefalia y malformaciones congénitas similares,18,10,8
2012,1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,16,6,10
2012,1- 6 días,Hemorragia intracraneal no traumática del feto y del recién nacido,13,6,7
2012,1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",12,8,4
2012,1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",47,28,19
2012,1- 6 días,Otras causas,215,114,101
2012,7 - 27 días,Sepsis bacteriana del recién nacido,201,103,98
2012,7 - 27 días,Dificultad respiratoria del recién nacido,192,106,86
2012,7 - 27 días,Neumonía congénita,187,101,86
2012,7 - 27 días,Síndromes de aspiración neonatal,106,54,52
2012,7 - 27 días,Asfixia del nacimiento,72,40,32
