Año,Tipo,Departamento_residencia,Todas las causas,Total,Hombres,Mujeres,Ignorado
2012,Externos,Guatemala,Otros trastornos del sistema urinario,8277,1687,6516,74
2012,Externos,Guatemala,"Estado de embarazo, incidental",7287,,7287,
2012,Externos,Guatemala,Rinofaringitis aguda [resfriado común],6849,3513,3297,39
2012,Externos,Guatemala,Acné,6412,2814,3596,2
2012,Externos,Guatemala,"Diabetes mellitus, no especificada",6197,1975,4191,31
2012,Externos,Guatemala,Otras afecciones inflamatorias de la vagina y de la vulva,5184,,5184,
2012,Externos,Guatemala,Dermatofitosis,4598,1761,2835,2
2012,Externos,Guatemala,Otitis media supurativa y la no especificada,4463,2209,2231,23
2012,Externos,Guatemala,Bronquitis aguda,4447,2487,1921,39
2012,Externos,Guatemala,Otras enfermedades del estómago y del duodeno,4345,1698,2629,18
2012,Externos,Guatemala,Dorsalgia,4092,1560,2525,7
2012,Externos,Guatemala,Trastornos de la acomodación y de la refracción,4066,1642,2409,15
2012,Externos,Guatemala,Conjuntivitis,3969,2024,1923,22
2012,Externos,Guatemala,Amigdalitis aguda,3835,2046,1773,16
2012,Externos,Guatemala,Liquen simple crónico y prurigo,3691,1623,2066,2
2012,Externos,Guatemala,Faringitis aguda,3604,1665,1914,25
2012,Externos,Guatemala,Otros trastornos de la pigmentación,3567,550,3017,
2012,Externos,Guatemala,Rinitis alérgica y vasomotora,3318,1739,1555,24
2012,Externos,Guatemala,Trastornos específicos del desarrollo del habla y del lenguaje,3267,2528,714,25
2012,Externos,Guatemala,Verrugas víricas,3166,1508,1654,4
2012,Externos,Guatemala,"Neumonía, organismo no especificado",3102,1657,1419,26
2012,Externos,Guatemala,Otros trastornos de las venas,3083,386,2685,12
2012,Externos,Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",25081,10794,14086,201
2012,Externos,Guatemala,Otras causas,164902,67439,96328,1135
2012,Externos,El Progreso,Hipertensión esencial (primaria),644,220,423,1
2012,Externos,El Progreso,Caries dental,559,267,290,2
2012,Externos,El Progreso,Otros trastornos del sistema urinario,454,86,366,2
2012,Externos,El Progreso,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",434,255,179,
2012,Externos,El Progreso,Diarrea y gastroenteritis de presunto origen infeccioso,431,220,211,
2012,Externos,El Progreso,"Diabetes mellitus, no especificada",413,101,311,1
2012,Externos,El Progreso,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,373,70,302,1
2012,Externos,El Progreso,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",282,133,149,
2012,Externos,El Progreso,Otras enfermedades del estómago y del duodeno,280,112,168,
2012,Externos,El Progreso,Diabetes mellitus no insulinodependiente,238,77,160,1
2012,Externos,El Progreso,Otros trastornos de ansiedad,234,93,141,
2012,Externos,El Progreso,Gastritis y duodenitis,218,104,114,
2012,Externos,El Progreso,Dorsalgia,164,56,108,
2012,Externos,El Progreso,Otras afecciones inflamatorias de la vagina y de la vulva,162,,162,
2012,Externos,El Progreso,Supervisión de embarazo normal,157,,157,
2012,Externos,El Progreso,Amigdalitis aguda,147,88,59,
2012,Externos,El Progreso,Síndrome del colon irritable,142,32,110,
2012,Externos,El Progreso,"Otros trastornos articulares, no clasificados en otra parte",139,62,77,
2012,Externos,El Progreso,Acné,138,45,93,
2012,Externos,El Progreso,Dermatofitosis,134,64,70,
2012,Externos,El Progreso,Rinofaringitis aguda [resfriado común],133,64,69,
2012,Externos,El Progreso,Trastornos del metabolismo de las lipoproteínas y otras lipidemias,128,57,71,
2012,Externos,El Progreso,"Personas en contacto con los servicios de salud por otras consultas y consejos médicos, no clasificados en otra parte",124,51,72,1
2012,Externos,El Progreso,Otras dermatitis,117,66,51,
2012,Externos,El Progreso,"Parasitosis intestinal, sin otra especificación",107,55,52,
2012,Externos,El Progreso,Examen general e investigación de personas sin quejas o sin diagnóstico informado,107,63,44,
2012,Externos,El Progreso,Traumatismo de regiones no especificadas del cuerpo,106,80,26,
2012,Externos,El Progreso,Conjuntivitis,93,48,45,
2012,Externos,El Progreso,Hiperplasia de la próstata,91,91,,
2012,Externos,El Progreso,Trastornos de la acomodación y de la refracción,89,38,51,
2012,Externos,El Progreso,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1144,483,659,2
2012,Externos,El Progreso,Otras causas,4730,1843,2869,18
2012,Externos,Sacatepequez,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,471,162,308,1
2012,Externos,Sacatepequez,Hipertensión esencial (primaria),316,90,226,
2012,Externos,Sacatepequez,Caries dental,316,164,150,2
2012,Externos,Sacatepequez,Gastritis y duodenitis,306,91,215,
2012,Externos,Sacatepequez,Dorsalgia,296,102,192,2
2012,Externos,Sacatepequez,"Diabetes mellitus, no especificada",283,83,199,1
2012,Externos,Sacatepequez,Otros trastornos del sistema urinario,276,45,229,2
2012,Externos,Sacatepequez,"Otros trastornos articulares, no clasificados en otra parte",244,60,183,1
2012,Externos,Sacatepequez,Diarrea y gastroenteritis de presunto origen infeccioso,243,112,130,1
2012,Externos,Sacatepequez,Colecistitis,226,30,195,1
2012,Externos,Sacatepequez,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",222,121,100,1
2012,Externos,Sacatepequez,Síndrome del colon irritable,194,39,155,
2012,Externos,Sacatepequez,Otras enfermedades del estómago y del duodeno,173,48,125,
2012,Externos,Sacatepequez,Trastornos de la acomodación y de la refracción,171,80,89,2
2012,Externos,Sacatepequez,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",163,56,107,
2012,Externos,Sacatepequez,Acné,150,70,80,
2012,Externos,Sacatepequez,"Estado de embarazo, incidental",144,,144,
2012,Externos,Sacatepequez,Hiperplasia de la próstata,124,124,,
2012,Externos,Sacatepequez,Hernia inguinal,123,85,38,
2012,Externos,Sacatepequez,Colelitiasis,118,17,101,
2012,Externos,Sacatepequez,"Personas en contacto con los servicios de salud por otras consultas y consejos médicos, no clasificados en otra parte",110,74,35,1
2012,Externos,Sacatepequez,Conjuntivitis,109,50,59,
2012,Externos,Sacatepequez,Examen general e investigación de personas sin quejas o sin diagnóstico informado,109,62,44,3
2012,Externos,Sacatepequez,Leiomioma del útero,99,,99,
2012,Externos,Sacatepequez,Amigdalitis aguda,97,36,61,
2012,Externos,Sacatepequez,Diabetes mellitus no insulinodependiente,91,21,70,
2012,Externos,Sacatepequez,Atención para la anticoncepción,86,2,84,
2012,Externos,Sacatepequez,Hernia no especificada de la cavidad abdominal,84,26,58,
2012,Externos,Sacatepequez,Traumatismo de regiones no especificadas del cuerpo,78,44,34,
2012,Externos,Sacatepequez,Otros trastornos de ansiedad,74,39,35,
2012,Externos,Sacatepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1162,396,761,5
2012,Externos,Sacatepequez,Otras causas,5402,2052,3325,25
2012,Externos,Chimaltenango,Desnutrición proteicocalórica de grado moderado y leve,1232,609,622,1
2012,Externos,Chimaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,876,434,442,
2012,Externos,Chimaltenango,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",851,433,415,3
2012,Externos,Chimaltenango,Trastornos de la acomodación y de la refracción,799,326,471,2
2012,Externos,Chimaltenango,Otros trastornos del sistema urinario,782,187,595,
2012,Externos,Chimaltenango,Otras enfermedades del estómago y del duodeno,661,280,380,1
2012,Externos,Chimaltenango,"Estado de embarazo, incidental",574,,574,
2012,Externos,Chimaltenango,Conjuntivitis,548,270,278,
2012,Externos,Chimaltenango,Amigdalitis aguda,502,253,249,
2012,Externos,Chimaltenango,Examen general e investigación de personas sin quejas o sin diagnóstico informado,464,216,245,3
2012,Externos,Chimaltenango,Caries dental,461,228,232,1
2012,Externos,Chimaltenango,Gastritis y duodenitis,443,149,294,
2012,Externos,Chimaltenango,Traumatismo de regiones no especificadas del cuerpo,437,324,112,1
2012,Externos,Chimaltenango,Rinofaringitis aguda [resfriado común],423,205,217,1
2012,Externos,Chimaltenango,Otros trastornos de la conjuntiva,411,168,242,1
2012,Externos,Chimaltenango,Trastornos del aparato lagrimal,351,134,216,1
2012,Externos,Chimaltenango,"Diabetes mellitus, no especificada",347,128,219,
2012,Externos,Chimaltenango,Dorsalgia,332,153,177,2
2012,Externos,Chimaltenango,Hipertensión esencial (primaria),284,120,163,1
2012,Externos,Chimaltenango,"Neumonía, organismo no especificado",280,130,150,
2012,Externos,Chimaltenango,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,268,92,175,1
2012,Externos,Chimaltenango,Síndrome del colon irritable,261,72,189,
2012,Externos,Chimaltenango,Otras cataratas,242,127,114,1
2012,Externos,Chimaltenango,"Parasitosis intestinal, sin otra especificación",224,105,118,1
2012,Externos,Chimaltenango,Orzuelo y calacio,219,84,134,1
2012,Externos,Chimaltenango,Otitis media supurativa y la no especificada,208,113,95,
2012,Externos,Chimaltenango,Bronquitis aguda,207,110,94,3
2012,Externos,Chimaltenango,Amebiasis,202,92,110,
2012,Externos,Chimaltenango,Otros trastornos del ojo y sus anexos,181,84,97,
2012,Externos,Chimaltenango,Faringitis aguda,180,83,96,1
2012,Externos,Chimaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1556,618,930,8
2012,Externos,Chimaltenango,Otras causas,9088,3982,5085,21
2012,Externos,Escuintla,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,4458,32,4426,
2012,Externos,Escuintla,Examen de pesquisa especial para otras enfermedades y trastornos,4175,,4175,
2012,Externos,Escuintla,Atención para la anticoncepción,2380,7,2373,
2012,Externos,Escuintla,Supervisión de embarazo normal,1084,,1084,
2012,Externos,Escuintla,Otros trastornos del sistema urinario,535,107,422,6
2012,Externos,Escuintla,Hipertensión esencial (primaria),495,183,312,
2012,Externos,Escuintla,Amigdalitis aguda,439,311,124,4
2012,Externos,Escuintla,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",434,272,158,4
2012,Externos,Escuintla,Diarrea y gastroenteritis de presunto origen infeccioso,395,179,208,8
2012,Externos,Escuintla,Gastritis y duodenitis,367,160,207,
2012,Externos,Escuintla,"Diabetes mellitus, no especificada",353,116,235,2
2012,Externos,Escuintla,Otras enfermedades del estómago y del duodeno,303,112,187,4
2012,Externos,Escuintla,Enfermedad inflamatoria del cuello uterino,300,,300,
2012,Externos,Escuintla,Dorsalgia,273,128,145,
2012,Externos,Escuintla,"Otros trastornos articulares, no clasificados en otra parte",255,52,203,
2012,Externos,Escuintla,Síndrome del colon irritable,233,37,196,
2012,Externos,Escuintla,Otras afecciones inflamatorias de la vagina y de la vulva,212,,212,
2012,Externos,Escuintla,Presencia de otros implantes funcionales,194,1,193,
2012,Externos,Escuintla,Caries dental,165,76,89,
2012,Externos,Escuintla,Colecistitis,156,19,137,
2012,Externos,Escuintla,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",156,49,107,
2012,Externos,Escuintla,Otros trastornos de ansiedad,148,72,74,2
2012,Externos,Escuintla,Hiperplasia de la próstata,146,146,,
2012,Externos,Escuintla,Dermatofitosis,138,74,64,
2012,Externos,Escuintla,Insuficiencia renal crónica,136,71,65,
2012,Externos,Escuintla,Rinofaringitis aguda [resfriado común],133,84,49,
2012,Externos,Escuintla,Otros trastornos de las venas,131,14,117,
2012,Externos,Escuintla,"Estado de embarazo, incidental",130,,130,
2012,Externos,Escuintla,Acné,122,46,76,
2012,Externos,Escuintla,Leiomioma del útero,115,,115,
2012,Externos,Escuintla,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1710,749,955,6
2012,Externos,Escuintla,Otras causas,6975,2705,4227,43
2012,Externos,Santa Rosa,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,587,53,534,
2012,Externos,Santa Rosa,Caries dental,469,259,209,1
2012,Externos,Santa Rosa,Otros trastornos del sistema urinario,439,91,346,2
2012,Externos,Santa Rosa,Hipertensión esencial (primaria),376,122,253,1
2012,Externos,Santa Rosa,"Diabetes mellitus, no especificada",290,71,219,
2012,Externos,Santa Rosa,Examen de pesquisa especial para otras enfermedades y trastornos,272,,272,
2012,Externos,Santa Rosa,Diarrea y gastroenteritis de presunto origen infeccioso,271,149,121,1
2012,Externos,Santa Rosa,Gastritis y duodenitis,239,80,159,
2012,Externos,Santa Rosa,Otras enfermedades del estómago y del duodeno,238,88,150,
2012,Externos,Santa Rosa,Dorsalgia,213,102,111,
2012,Externos,Santa Rosa,Síndrome del colon irritable,205,69,136,
2012,Externos,Santa Rosa,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",194,84,110,
2012,Externos,Santa Rosa,"Estado de embarazo, incidental",150,,150,
2012,Externos,Santa Rosa,"Otros trastornos articulares, no clasificados en otra parte",140,53,87,
2012,Externos,Santa Rosa,"Personas en contacto con los servicios de salud por otras consultas y consejos médicos, no clasificados en otra parte",140,62,78,
2012,Externos,Santa Rosa,Infección aguda no especificada de las vías respiratorias inferiores,131,75,56,
2012,Externos,Santa Rosa,Otros trastornos de ansiedad,129,37,91,1
2012,Externos,Santa Rosa,Otros trastornos de las venas,127,12,115,
2012,Externos,Santa Rosa,Acné,120,27,93,
2012,Externos,Santa Rosa,Liquen simple crónico y prurigo,115,50,65,
2012,Externos,Santa Rosa,Amigdalitis aguda,114,66,48,
2012,Externos,Santa Rosa,Vitíligo,112,55,57,
2012,Externos,Santa Rosa,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",108,41,67,
2012,Externos,Santa Rosa,Trastornos del metabolismo de las lipoproteínas y otras lipidemias,107,28,79,
2012,Externos,Santa Rosa,Examen general e investigación de personas sin quejas o sin diagnóstico informado,106,52,54,
2012,Externos,Santa Rosa,Colecistitis,105,17,88,
2012,Externos,Santa Rosa,Supervisión de embarazo normal,104,,104,
2012,Externos,Santa Rosa,Hiperplasia de la próstata,102,102,,
2012,Externos,Santa Rosa,Dermatofitosis,100,46,54,
2012,Externos,Santa Rosa,Atención para la anticoncepción,100,,100,
2012,Externos,Santa Rosa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",869,296,573,
2012,Externos,Santa Rosa,Otras causas,5851,2267,3573,11
2012,Externos,Solola,Diarrea y gastroenteritis de presunto origen infeccioso,696,292,389,15
2012,Externos,Solola,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",589,228,326,35
2012,Externos,Solola,Supervisión de embarazo normal,452,,452,
2012,Externos,Solola,Otras enfermedades del estómago y del duodeno,416,142,266,8
2012,Externos,Solola,Otros trastornos del sistema urinario,308,79,214,15
2012,Externos,Solola,"Diabetes mellitus, no especificada",278,90,179,9
2012,Externos,Solola,Hipertensión esencial (primaria),266,76,174,16
2012,Externos,Solola,Amigdalitis aguda,265,133,123,9
2012,Externos,Solola,Amebiasis,217,96,112,9
2012,Externos,Solola,"Estado de embarazo, incidental",196,,196,
2012,Externos,Solola,"Neumonía, organismo no especificado",152,75,71,6
2012,Externos,Solola,Herida de la cabeza,131,88,31,12
2012,Externos,Solola,Dorsalgia,108,43,60,5
2012,Externos,Solola,Otitis media supurativa y la no especificada,96,40,51,5
2012,Externos,Solola,"Desnutrición proteicocalórica, no especificada",87,32,50,5
2012,Externos,Solola,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",87,38,46,3
2012,Externos,Solola,Bronquitis aguda,84,46,34,4
2012,Externos,Solola,"Parasitosis intestinal, sin otra especificación",83,39,44,
2012,Externos,Solola,Caries dental,73,35,38,
2012,Externos,Solola,Hernia inguinal,73,33,35,5
2012,Externos,Solola,"Otros traumatismos de miembro superior, nivel no especificado",72,60,9,3
2012,Externos,Solola,Traumatismo de regiones no especificadas del cuerpo,69,40,25,4
2012,Externos,Solola,Otros síndromes de cefalea,63,13,48,2
2012,Externos,Solola,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,63,15,48,
2012,Externos,Solola,"Otros trastornos articulares, no clasificados en otra parte",62,23,37,2
2012,Externos,Solola,"Tratornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho",61,,61,
2012,Externos,Solola,Faringitis aguda,58,26,27,5
2012,Externos,Solola,"Efectos adversos, no clasificados en otra parte",58,27,31,
2012,Externos,Solola,"Otros traumatismos de miembro inferior, nivel no especificado",57,36,15,6
2012,Externos,Solola,"Menstruación ausente, escasa o rara",56,,56,
2012,Externos,Solola,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1229,472,714,43
2012,Externos,Solola,Otras causas,2848,1099,1666,83
2012,Externos,Totonicapan,Otras enfermedades del estómago y del duodeno,414,120,294,
2012,Externos,Totonicapan,Otras afecciones inflamatorias de la vagina y de la vulva,323,,323,
2012,Externos,Totonicapan,Otros trastornos del sistema urinario,314,72,242,
2012,Externos,Totonicapan,"Estado de embarazo, incidental",301,,301,
2012,Externos,Totonicapan,Diarrea y gastroenteritis de presunto origen infeccioso,270,110,160,
2012,Externos,Totonicapan,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",248,95,153,
2012,Externos,Totonicapan,"Diabetes mellitus, no especificada",143,49,94,
2012,Externos,Totonicapan,Hipertensión esencial (primaria),143,58,85,
2012,Externos,Totonicapan,Amigdalitis aguda,133,59,74,
2012,Externos,Totonicapan,Diabetes mellitus no insulinodependiente,115,44,71,
2012,Externos,Totonicapan,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,106,10,96,
2012,Externos,Totonicapan,Otras anemias,105,37,68,
2012,Externos,Totonicapan,Trastornos de la acomodación y de la refracción,102,50,51,1
2012,Externos,Totonicapan,Migraña,94,37,57,
2012,Externos,Totonicapan,Otitis media supurativa y la no especificada,94,26,68,
2012,Externos,Totonicapan,"Neumonía, organismo no especificado",78,36,42,
2012,Externos,Totonicapan,Sinusitis crónica,78,25,53,
2012,Externos,Totonicapan,Dorsalgia,74,19,55,
2012,Externos,Totonicapan,Supervisión de embarazo normal,73,,73,
2012,Externos,Totonicapan,Amebiasis,71,24,47,
2012,Externos,Totonicapan,"Bronquitis, no especificada como aguda o crónica",71,24,47,
2012,Externos,Totonicapan,Síndrome del colon irritable,64,32,32,
2012,Externos,Totonicapan,"Parasitosis intestinal, sin otra especificación",62,17,45,
2012,Externos,Totonicapan,Traumatismo de regiones no especificadas del cuerpo,60,33,27,
2012,Externos,Totonicapan,Atención para la anticoncepción,60,2,58,
2012,Externos,Totonicapan,Otras cataratas,56,22,34,
2012,Externos,Totonicapan,Otras artritis,56,13,43,
2012,Externos,Totonicapan,"Rinitis, rinofaringitis y faringitis crónicas",54,15,39,
2012,Externos,Totonicapan,Otros trastornos de ansiedad,51,17,34,
2012,Externos,Totonicapan,Gastritis y duodenitis,48,19,29,
2012,Externos,Totonicapan,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",452,173,278,1
2012,Externos,Totonicapan,Otras causas,2729,1012,1713,4
2012,Externos,Quetzaltenango,Supervisión de embarazo normal,3335,,3335,
2012,Externos,Quetzaltenango,Atención para la anticoncepción,1403,3,1400,
2012,Externos,Quetzaltenango,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,1230,71,1159,
2012,Externos,Quetzaltenango,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",1007,627,379,1
2012,Externos,Quetzaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,992,472,515,5
2012,Externos,Quetzaltenango,Otros trastornos del sistema urinario,983,173,810,
2012,Externos,Quetzaltenango,Otras enfermedades del estómago y del duodeno,772,390,382,
2012,Externos,Quetzaltenango,Otras afecciones inflamatorias de la vagina y de la vulva,737,,737,
2012,Externos,Quetzaltenango,Otras cataratas,560,261,298,1
2012,Externos,Quetzaltenango,Hipertensión esencial (primaria),536,202,332,2
2012,Externos,Quetzaltenango,Trastornos de la acomodación y de la refracción,535,230,296,9
2012,Externos,Quetzaltenango,"Estado de embarazo, incidental",490,,490,
2012,Externos,Quetzaltenango,Amigdalitis aguda,479,261,217,1
2012,Externos,Quetzaltenango,Gastritis y duodenitis,464,201,263,
2012,Externos,Quetzaltenango,"Diabetes mellitus, no especificada",398,154,241,3
2012,Externos,Quetzaltenango,Otitis media supurativa y la no especificada,366,171,194,1
2012,Externos,Quetzaltenango,Diabetes mellitus no insulinodependiente,347,134,210,3
2012,Externos,Quetzaltenango,Traumatismo de regiones no especificadas del cuerpo,272,169,102,1
2012,Externos,Quetzaltenango,Amebiasis,269,150,119,
2012,Externos,Quetzaltenango,Otras anemias,266,116,150,
2012,Externos,Quetzaltenango,Conjuntivitis,254,145,109,
2012,Externos,Quetzaltenango,Otros trastornos de la conjuntiva,252,116,136,
2012,Externos,Quetzaltenango,Examen de pesquisa especial para tumores,251,,251,
2012,Externos,Quetzaltenango,Otras enfermedades de transmisión sexual debidas a clamidias,242,,242,
2012,Externos,Quetzaltenango,Síndrome del colon irritable,238,108,130,
2012,Externos,Quetzaltenango,Rinofaringitis aguda [resfriado común],224,108,116,
2012,Externos,Quetzaltenango,"Parasitosis intestinal, sin otra especificación",220,122,98,
2012,Externos,Quetzaltenango,Otros trastornos del ojo y sus anexos,190,98,92,
2012,Externos,Quetzaltenango,Otras dermatitis,186,92,94,
2012,Externos,Quetzaltenango,"Menstruación ausente, escasa o rara",183,,183,
2012,Externos,Quetzaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1677,513,1152,12
2012,Externos,Quetzaltenango,Otras causas,8983,3974,4994,15
2012,Externos,Suchitepequez,Diarrea y gastroenteritis de presunto origen infeccioso,841,360,476,5
2012,Externos,Suchitepequez,Otros trastornos del sistema urinario,638,168,467,3
2012,Externos,Suchitepequez,Otras enfermedades del estómago y del duodeno,417,149,266,2
2012,Externos,Suchitepequez,"Diabetes mellitus, no especificada",357,119,235,3
2012,Externos,Suchitepequez,Otras cataratas,206,84,120,2
2012,Externos,Suchitepequez,Fiebre del dengue [dengue clásico],199,102,97,
2012,Externos,Suchitepequez,"Neumonía, organismo no especificado",192,84,107,1
2012,Externos,Suchitepequez,Hipertensión esencial (primaria),168,72,96,
2012,Externos,Suchitepequez,"Estado de embarazo, incidental",133,,133,
2012,Externos,Suchitepequez,Rinofaringitis aguda [resfriado común],123,37,84,2
2012,Externos,Suchitepequez,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",119,59,57,3
2012,Externos,Suchitepequez,Amigdalitis aguda,118,60,57,1
2012,Externos,Suchitepequez,Caries dental,114,90,24,
2012,Externos,Suchitepequez,Gastritis y duodenitis,112,44,68,
2012,Externos,Suchitepequez,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",112,47,64,1
2012,Externos,Suchitepequez,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,108,24,84,
2012,Externos,Suchitepequez,Otitis media supurativa y la no especificada,98,50,46,2
2012,Externos,Suchitepequez,Otros trastornos de la conjuntiva,96,51,43,2
2012,Externos,Suchitepequez,Dorsalgia,96,51,45,
2012,Externos,Suchitepequez,Trastornos de la acomodación y de la refracción,95,32,61,2
2012,Externos,Suchitepequez,Conjuntivitis,94,34,59,1
2012,Externos,Suchitepequez,Otras infecciones intestinales bacterianas,91,30,61,
2012,Externos,Suchitepequez,Trastornos del aparato lagrimal,89,36,53,
2012,Externos,Suchitepequez,"Efectos adversos, no clasificados en otra parte",82,42,40,
2012,Externos,Suchitepequez,"Bronquitis, no especificada como aguda o crónica",80,35,45,
2012,Externos,Suchitepequez,Traumatismo de regiones no especificadas del cuerpo,74,51,23,
2012,Externos,Suchitepequez,Insuficiencia renal crónica,70,46,24,
2012,Externos,Suchitepequez,"Parasitosis intestinal, sin otra especificación",69,40,28,1
2012,Externos,Suchitepequez,Presencia de otros implantes funcionales,69,29,40,
2012,Externos,Suchitepequez,Otros trastornos de ansiedad,66,32,34,
2012,Externos,Suchitepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1582,596,983,3
2012,Externos,Suchitepequez,Otras causas,3582,1521,2032,29
2012,Externos,Retalhuleu,Otras cataratas,428,194,231,3
2012,Externos,Retalhuleu,"Estado de embarazo, incidental",374,,374,
2012,Externos,Retalhuleu,Diarrea y gastroenteritis de presunto origen infeccioso,330,156,174,
2012,Externos,Retalhuleu,"Diabetes mellitus, no especificada",313,57,256,
2012,Externos,Retalhuleu,Otros trastornos de la conjuntiva,288,157,131,
2012,Externos,Retalhuleu,Trastornos del aparato lagrimal,279,114,165,
2012,Externos,Retalhuleu,Otros trastornos del sistema urinario,278,71,206,1
2012,Externos,Retalhuleu,Conjuntivitis,253,110,142,1
2012,Externos,Retalhuleu,Traumatismo de regiones no especificadas del cuerpo,185,132,53,
2012,Externos,Retalhuleu,Trastornos de la acomodación y de la refracción,173,88,85,
2012,Externos,Retalhuleu,Presencia de otros implantes funcionales,171,70,101,
2012,Externos,Retalhuleu,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,146,22,124,
2012,Externos,Retalhuleu,Otros trastornos del ojo y sus anexos,141,70,69,2
2012,Externos,Retalhuleu,Glaucoma,129,56,73,
2012,Externos,Retalhuleu,Caries dental,103,77,26,
2012,Externos,Retalhuleu,Otras enfermedades del estómago y del duodeno,103,43,60,
2012,Externos,Retalhuleu,Queratitis,96,52,43,1
2012,Externos,Retalhuleu,Hipertensión esencial (primaria),95,34,61,
2012,Externos,Retalhuleu,Fiebre del dengue [dengue clásico],83,41,42,
2012,Externos,Retalhuleu,Otitis media supurativa y la no especificada,83,37,46,
2012,Externos,Retalhuleu,Dorsalgia,81,61,20,
2012,Externos,Retalhuleu,Necesidad de inmunización contra otras enfermedades infecciosas únicas,81,33,48,
2012,Externos,Retalhuleu,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",76,45,31,
2012,Externos,Retalhuleu,Orzuelo y calacio,73,23,49,1
2012,Externos,Retalhuleu,"Otros trastornos articulares, no clasificados en otra parte",67,21,46,
2012,Externos,Retalhuleu,Otros trastornos de ansiedad,66,42,24,
2012,Externos,Retalhuleu,Otras anemias,64,31,33,
2012,Externos,Retalhuleu,Colecistitis,61,14,47,
2012,Externos,Retalhuleu,Hernia inguinal,60,40,20,
2012,Externos,Retalhuleu,Amigdalitis aguda,59,33,26,
2012,Externos,Retalhuleu,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",988,422,566,
2012,Externos,Retalhuleu,Otras causas,2774,1283,1487,4
2012,Externos,San Marcos,Supervisión de embarazo normal,1533,,1533,
2012,Externos,San Marcos,Otros trastornos del sistema urinario,1143,241,901,1
2012,Externos,San Marcos,Diarrea y gastroenteritis de presunto origen infeccioso,982,486,496,
2012,Externos,San Marcos,Otras cataratas,858,370,487,1
2012,Externos,San Marcos,Otros exámenes especiales e investigaciones en personas sin quejas o sin diagnóstico informado,706,71,635,
2012,Externos,San Marcos,Otras enfermedades del estómago y del duodeno,633,209,424,
2012,Externos,San Marcos,Hipertensión esencial (primaria),576,245,330,1
2012,Externos,San Marcos,Diabetes mellitus no insulinodependiente,542,121,421,
2012,Externos,San Marcos,"Estado de embarazo, incidental",505,,505,
2012,Externos,San Marcos,Amigdalitis aguda,485,267,217,1
2012,Externos,San Marcos,"Diabetes mellitus, no especificada",466,173,292,1
2012,Externos,San Marcos,Otitis media supurativa y la no especificada,402,196,205,1
2012,Externos,San Marcos,Otros trastornos del ojo y sus anexos,343,153,190,
2012,Externos,San Marcos,Conjuntivitis,334,147,185,2
